no,state_name,district_name

541. Tamil Nadu (TN), Salem Salem
542. Tamil Nadu (TN), Sivaganga Sivaganga
543. Tamil Nadu (TN), Tenkasi Tenkasi
544. Tamil Nadu (TN), Thanjavur Thanjavur
545. Tamil Nadu (TN), Theni Theni
546. Tamil Nadu (TN), Thoothukudi Thoothukudi
547. Tamil Nadu (TN), Tiruchirappalli Tiruchirappalli
548. Tamil Nadu (TN), Tirunelveli Tirunelveli
549. Tamil Nadu (TN), Tirupathur Tirupathur
550. Tamil Nadu (TN), Tiruppur Tiruppur
551. Tamil Nadu (TN), Tiruvallur Tiruvallur
552. Tamil Nadu (TN), Tiruvannamalai Tiruvannamalai
553. Tamil Nadu (TN), Tiruvarur Tiruvarur
554. Tamil Nadu (TN), Vellore Vellore
555. Tamil Nadu (TN), Viluppuram Viluppuram
556. Tamil Nadu (TN), Virudhunagar Virudhunagar
557. Telangana (TS), Adilabad Adilabad
558. Telangana (TS), Bhadradri Kothagudem Kothagudem
559. Telangana (TS), Hyderabad Hyderabad
560. Telangana (TS), Jagtial Jagtial
561. Telangana (TS), Jangaon Jangaon
562. Telangana (TS), Jayashankar Bhupalpally Bhupalpally
563. Telangana (TS), Jogulamba Gadwal Gadwal
564. Telangana (TS), Kamareddy Kamareddy
565. Telangana (TS), Karimnagar Karimnagar
566. Telangana (TS), Khammam Khammam
567. Telangana (TS), Kumuram Bheem Asifabad Kumuram Bheem
568. Telangana (TS), Mahabubabad Mahabubabad
569. Telangana (TS), Mahabubnagar Mahabubnagar
570. Telangana (TS), Mancherial Mancherial
571. Telangana (TS), Medak Medak
572. Telangana (TS), Medchal-Malkajgiri Malkajgiri
573. Telangana (TS), Mulugu Mulugu
574. Telangana (TS), Nagarkurnool Nagarkurnool
575. Telangana (TS), Nalgonda Nalgonda
576. Telangana (TS), Narayanpet Narayanpet
577. Telangana (TS), Nirmal Nirmal
578. Telangana (TS), Nizamabad Nizamabad
579. Telangana (TS), Peddapalli Peddapalli
580. Telangana (TS), Rajanna Sircilla Rajanna Sircilla
581. Telangana (TS), Rangareddy Rangareddy
582. Telangana (TS), Sangareddy Sangareddy
583. Telangana (TS), Siddipet Siddipet
584. Telangana (TS), Suryapet Suryapet
585. Telangana (TS), Vikarabad Vikarabad
